BOF
100	249010112
99	-903001803
98	1012283177
97	-1418340880
96	2017170363
95	1180674555
94	-1934505603
93	-881764865
92	-744502930
91	380686522
90	-1635171862
89	684963586
88	928696220
87	57338097
86	2050398363
85	856475856
84	-417930186
83	437651130
82	834093447
81	998010577
80	275523601
79	1039838645
78	-532891401
77	2068267853
76	-603628380
75	856029750
74	-104775029
73	251933898
72	1211076623
71	175840389
70	-967320027
69	2138132217
68	-1687470814
67	1792596278
66	-606329142
65	-685488183
64	348851066
63	1775046532
62	-838356094
61	252532186
60	-10363419
59	-84132155
58	327492857
57	174698927
56	-754614309
55	1240535295
54	-1419667062
53	-1849756766
52	301974356
51	-778946946
50	1831735629
49	496101612
48	1840999388
47	741878735
46	-1752893563
45	-1676361780
44	2059234891
43	1707630828
42	-144573296
41	758836874
40	549702194
39	-225139602
38	-1293082616
37	100959271
36	-1260728987
35	-164569068
34	141668730
33	-2143796808
32	-23812669
31	-554120643
30	-920458941
29	-99475337
28	-1622568746
27	1997448858
26	81894732
25	348418352
24	1779915600
23	-945333539
22	1637084963
21	-671704189
20	27839465
19	167054157
18	1599607822
17	1572372538
16	1794244301
15	1248385839
14	478168579
13	44776258
12	-976645270
11	-1878506968
10	-515783737
9	961930421
8	-1374825150
7	-1454251674
6	-1867805960
5	1128392630
4	-836497072
3	-1321367276
2	1984925017
1	-1318204901
EOF
